Date,VIX,M1,M2,VIX3M,VXX,SPX,VVIX,M1 Weight,M2 Weight,Weighted M1 M2,HV5,HV10,HV20,HV30,HV60,VXX Bias,VRP,VIX GEX
2022-03-02 16:31:04,30.74,29.82,29.22,30.97,24.96,4386.54,124.92,0.5,0.5,29.52,25.45,24.98,23.5,22.69,19.75,-1.0,-2.0,1.0
2022-03-01 16:31:03,33.32,31.6,30.35,32.59,26.67,4306.2598,132.8,0.55,0.45,31.04,28.74,24.38,22.5,22.4,19.41,-0.5,-2.0,2.0
2022-02-28 16:31:01,30.15,29.15,28.45,29.65,24.0,4373.9399,123.64,0.6,0.4,28.87,27.09,23.25,23.13,22.07,19.41,-1.0,-2.0,1.0
2022-02-25 16:31:05,27.59,27.3,26.95,28.04,22.95,4384.6499,117.76,0.65,0.35,27.18,27.71,24.98,24.73,22.36,19.55,-1.0,-3.0,0.5
2022-02-24 16:31:02,30.32,28.95,27.93,30.05,23.925,4288.7002,128.5,0.7,0.3,28.64,22.67,21.71,23.44,21.16,19.31,-0.5,-3.0,1.0
2022-02-23 16:31:00,31.02,29.56,28.42,30.88,24.7,4225.5,131.24,0.75,0.25,29.27,14.1,21.57,22.7,20.79,19.24,-0.5,-3.0,1.0
2022-02-22 16:31:03,28.81,27.65,26.82,29.11,23.36,4304.7598,130.69,0.8,0.2,27.48,21.86,21.68,22.19,20.29,19.43,-1.0,-2.0,1.0
2022-02-18 16:31:02,27.75,27.89,27.11,29.22,23.45,4348.8701,133.64,0.85,0.15,27.77,21.27,21.41,21.97,20.17,19.36,-1.0,-1.0,1.0
2022-02-17 16:31:02,28.11,27.75,26.9,29.32,22.96,4380.2598,134.49,0.9,0.1,27.67,24.16,21.69,22.82,20.13,19.32,-1.0,-1.0,1.0
2022-02-16 16:31:02,24.29,24.5,24.75,26.26,20.53,4475.0098,122.58,0.95,0.05,24.51,22.95,22.52,21.89,19.99,18.87,-1.0,-0.5,0.5
2022-02-15 16:31:01,25.7,26.34,26.0,27.28,21.39,4471.0698,129.05,0.0,1.0,26.0,26.8,23.27,22.12,19.97,18.87,-1.0,-0.5,0.5
2022-02-14 16:31:02,28.33,28.0,27.55,29.44,23.31,4401.6699,140.59,0.05,0.95,27.57,24.06,21.79,21.99,19.41,18.57,-1.0,-0.5,1.0
2022-02-11 16:31:03,27.36,27.62,27.5,28.83,23.24,4418.6401,141.17,0.1,0.9,27.51,24.06,24.24,22.03,19.41,18.56,-2.0,1.0,1.0
2022-02-10 16:31:00,23.91,24.65,24.85,26.07,20.46,4504.0801,129.1,0.15,0.85,24.82,20.1,24.57,21.61,18.77,18.2,-2.0,1.0,-0.1
2022-02-09 16:31:01,19.96,21.2,22.68,23.49,18.71,4587.1802,119.32,0.2,0.8,22.38,24.03,22.05,20.85,18.16,17.83,-2.0,1.0,-2.0
2022-02-08 16:31:05,21.44,22.35,23.44,24.54,19.5,4521.54,118.86,0.25,0.75,23.17,22.31,21.67,20.4,17.53,17.64,-2.0,-0.1,-1.0
2022-02-07 16:31:02,22.86,23.45,24.33,25.69,20.42,4483.8701,124.13,0.3,0.7,24.07,21.93,22.88,20.06,17.87,17.54,-2.0,-1.0,-0.5
2022-02-04 16:31:00,23.22,23.8,24.74,26.25,21.0,4500.5298,124.89,0.35,0.65,24.41,25.9,22.68,20.06,18.0,17.6,-2.0,-1.0,-0.5
2022-02-03 16:31:00,24.35,24.85,25.6,26.67,21.78,4477.4399,125.11,0.4,0.6,25.3,30.04,24.96,19.89,18.22,17.57,-2.0,-1.0,0.1
2022-02-02 16:31:06,22.09,22.95,24.19,25.14,19.42,4589.3799,119.61,0.45,0.55,23.63,18.23,22.02,19.22,17.64,16.86,-2.0,-3.0,-1.0
2022-02-01 16:31:01,21.96,23.15,24.15,24.76,19.84,4546.54,117.99,0.5,0.5,23.65,20.29,22.15,18.75,17.73,16.76,-2.0,-3.0,-0.5
2022-01-31 16:31:01,24.83,24.86,25.56,26.85,21.41,4515.5498,125.06,0.55,0.44999999999999996,25.17,25.25,23.37,18.71,17.81,16.72,-1.0,-3.0,-0.1
2022-01-28 16:31:01,27.66,27.25,27.35,28.82,22.95,4431.8501,132.44,0.6,0.4,27.29,21.96,20.14,16.9,16.9,16.3,-1.0,-3.0,1.0
2022-01-27 16:31:02,30.49,28.4,28.13,30.87,24.49,4326.5098,141.14,0.65,0.35,28.31,13.69,12.21,13.3,15.95,15.47,-0.5,-3.0,1.0
2022-01-26 16:31:01,31.96,28.05,27.75,31.95,24.32,4349.9302,148.55,0.7,0.3,27.96,13.84,13.47,13.49,16.0,15.46,-0.5,-3.0,1.0
2022-01-25 16:31:01,31.16,28.05,27.57,31.76,23.86,4356.4502,150.8,0.75,0.25,27.93,12.52,15.78,13.51,16.11,15.47,-0.5,-3.0,1.0
2022-01-24 16:31:01,29.9,28.15,27.7,30.82,23.72,4410.1299,154.38,0.8,0.2,28.06,13.96,15.69,14.7,16.21,15.44,-0.5,-3.0,1.0
2022-01-21 16:31:03,28.85,27.4,27.0,29.95,23.2,4397.9399,149.5,0.85,0.15,27.34,12.73,15.0,14.93,16.22,15.45,-1.0,-3.0,1.0
2022-01-20 16:31:02,25.59,25.1,25.21,27.25,21.24,4482.73,135.6,0.9,0.1,25.11,11.36,13.46,14.45,15.49,14.98,-1.0,-3.0,0.5
2022-01-19 16:31:04,23.85,24.0,24.55,25.81,20.36,4532.7598,129.85,0.95,0.05,24.03,14.7,15.12,15.58,16.48,14.84,-1.0,-3.0,0.5
2022-01-18 16:31:02,22.79,22.53,23.27,25.12,19.89,4577.1099,127.95,0.0,1.0,23.27,18.7,15.11,15.73,16.6,14.71,-1.0,-2.0,0.5
2022-01-14 16:31:02,19.19,19.8,21.8,22.82,18.45,4662.8501,117.57,0.056,0.944,21.69,13.64,13.86,14.73,15.85,14.2,-1.0,-3.0,-1.0
2022-01-13 16:31:03,20.31,20.45,22.15,23.41,18.74,4659.0298,123.44,0.111,0.889,21.96,13.77,13.76,15.05,16.33,14.21,-1.0,-2.0,-0.5
2022-01-12 16:31:02,17.62,18.53,20.83,21.58,17.63,4726.3501,113.94,0.167,0.833,20.45,8.18,12.15,15.26,16.15,13.94,-2.0,-3.0,-1.0
2022-01-11 16:31:01,18.41,20.4,22.15,21.98,17.82,4713.0698,111.61,0.222,0.778,21.76,16.36,12.03,15.53,17.16,13.95,-2.0,-2.0,-1.0
2022-01-10 16:31:01,19.4,20.4,22.15,22.68,18.47,4670.29,113.02,0.278,0.722,21.66,12.7,10.48,15.53,17.38,13.91,-1.0,-3.0,-0.5
2022-01-07 16:31:04,18.76,20.4,22.15,22.87,18.82,4677.0298,113.86,0.333,0.667,21.57,15.18,13.33,15.92,18.64,14.27,-2.0,-2.0,-1.0
2022-01-06 16:31:05,19.61,20.95,22.93,23.5,19.38,4696.0498,117.82,0.389,0.611,22.16,15.19,13.66,16.06,18.61,14.23,-1.0,-3.0,-0.5
2022-01-05 16:31:01,19.73,20.3,22.3,23.47,19.29,4700.5801,119.31,0.444,0.556,21.41,15.05,14.55,16.1,18.62,14.24,-1.0,-3.0,-0.5
2022-01-04 16:31:05,16.91,19.1,21.43,21.62,17.88,4793.54,109.31,0.5,0.5,20.27,6.07,11.52,15.91,17.71,13.68,-2.0,-3.0,-1.0
2022-01-03 16:31:02,16.6,18.9,21.42,21.53,17.9,4796.5601,108.45,0.556,0.444,20.02,6.12,13.97,16.22,17.71,13.7,-2.0,-3.0,-1.0
2021-12-31 16:31:02,17.22,19.7,21.91,21.88,18.53,4766.1802,109.67,0.611,0.389,20.56,11.07,15.52,16.64,17.65,13.73,-2.0,-2.0,-1.0
2021-12-30 16:31:01,17.33,19.85,22.02,21.88,18.71,4778.73,110.84,0.667,0.333,20.57,10.66,16.32,17.07,17.65,13.71,-2.0,-1.0,-1.0
2021-12-29 16:31:04,16.95,19.97,22.15,21.83,18.71,4793.0601,109.5,0.722,0.278,20.58,9.68,17.65,17.75,17.64,13.8,-3.0,-1.0,-1.0
2021-12-28 16:31:01,17.54,20.6,22.62,22.33,19.21,4786.3501,114.83,0.765,0.235,20.98,11.47,18.48,19.32,17.64,14.13,-2.0,-0.5,-1.0
2021-12-27 16:31:01,17.68,21.05,22.95,22.74,19.7,4791.1899,115.92,0.842,0.158,21.35,17.96,19.34,19.73,17.73,14.26,-2.0,1.0,-1.0
2021-12-23 16:31:02,17.96,21.65,23.4,23.24,20.18,4725.79,120.46,0.895,0.105,21.83,20.45,18.7,21.09,17.31,14.31,-3.0,1.0,-0.5
2021-12-22 16:31:03,18.63,21.85,23.55,23.56,20.41,4696.5601,122.7,0.947,0.053,21.94,21.47,18.93,20.99,17.41,14.28,-2.0,0.5,-0.5
2021-12-21 16:31:07,21.01,21.13,23.0,25.0,21.66,4649.23,131.41,0.0,1.0,23.0,23.7,18.17,20.66,17.18,14.83,-1.0,-1.0,-1.0
2021-12-20 16:31:02,22.87,22.5,24.05,26.31,22.78,4568.02,138.67,0.042,0.958,23.98,18.45,19.04,19.54,16.3,14.41,-1.0,-1.0,0.5
2021-12-17 16:31:06,21.57,21.1,23.5,25.38,21.97,4620.6401,136.06,0.083,0.917,23.3,17.96,18.85,19.17,16.04,14.2,-2.0,-1.0,-0.5
2021-12-16 16:31:01,20.57,20.05,22.67,24.37,21.29,4668.6699,128.97,0.125,0.875,22.34,18.96,18.53,18.89,15.81,14.21,-2.0,-1.0,-1.0
2021-12-15 16:31:08,19.29,19.25,22.0,23.3,20.43,4709.8501,118.61,0.167,0.833,21.54,18.55,18.38,18.65,15.69,14.16,-2.0,-1.0,-1.0
2021-12-14 16:31:01,21.89,21.15,23.5,25.35,21.93,4634.0898,126.57,0.208,0.792,23.01,12.94,18.67,17.72,15.0,13.82,-1.0,-1.0,-0.5
2021-12-13 16:31:05,20.31,20.53,23.07,24.32,21.64,4668.9702,121.07,0.25,0.75,22.44,19.53,20.97,17.52,14.83,14.2,-1.0,-1.0,-1.0
2021-12-10 16:31:02,18.69,19.9,22.33,23.18,20.78,4712.02,113.85,0.292,0.708,21.62,16.48,21.14,17.37,14.55,14.2,-1.0,-1.0,-2.0
2021-12-09 16:31:01,21.58,21.6,23.53,24.66,22.2,4667.4502,121.79,0.333,0.667,22.89,19.73,24.16,17.06,14.57,14.1,-1.0,-1.0,-1.0
2021-12-08 16:31:02,19.9,20.7,22.8,23.63,21.52,4701.21,114.29,0.375,0.625,22.01,17.86,23.91,17.12,14.48,14.09,-1.0,-1.0,-2.0
2021-12-07 16:31:03,21.89,22.32,23.98,24.96,22.9,4686.75,117.92,0.417,0.583,23.29,22.97,23.87,17.13,14.47,14.15,-0.1,-1.0,-0.5
2021-12-06 16:31:02,27.18,25.75,26.58,28.88,25.78,4591.6699,138.88,0.458,0.542,26.2,23.46,20.96,15.29,13.26,13.53,1.0,-3.0,1.0
2021-12-03 16:31:04,30.67,28.7,28.5,31.78,27.96,4538.4302,156.1,0.5,0.5,28.6,24.06,19.51,14.65,12.82,13.43,1.0,-2.0,2.0
2021-12-02 16:31:01,27.95,25.35,26.37,29.15,25.72,4577.1001,147.31,0.542,0.458,25.82,28.12,19.58,14.54,12.6,13.35,0.5,-2.0,1.0
2021-12-01 16:31:01,31.12,26.1,26.73,30.79,27.3,4513.04,155.02,0.583,0.417,26.36,23.89,17.29,13.72,11.94,13.03,1.0,-3.0,2.0
2021-11-30 16:31:01,27.19,25.3,26.3,28.13,25.46,4567.0,142.55,0.625,0.375,25.68,24.32,17.1,13.23,11.59,12.82,0.5,-3.0,1.0
2021-11-29 16:31:06,22.96,22.6,24.1,25.04,22.05,4655.27,131.24,0.667,0.333,23.1,20.89,14.4,11.28,10.0,12.19,-0.1,-3.0,0.5
2021-11-26 16:31:01,28.62,25.9,26.45,29.17,26.16,4594.6201,149.74,0.708,0.292,26.06,16.4,13.05,10.27,9.54,11.9,1.0,-3.0,1.0
2021-11-24 16:31:01,18.58,20.35,22.51,21.9,20.55,4701.46,110.48,0.75,0.25,20.89,4.37,5.07,6.55,7.6,10.9,-1.0,-3.0,-0.5
2021-11-23 16:31:07,19.38,20.75,22.75,22.45,20.85,4690.7002,115.03,0.792,0.208,21.17,4.53,6.86,6.96,7.6,10.9,-1.0,-3.0,-0.5
2021-11-22 16:31:03,19.17,20.8,22.75,22.63,21.33,4682.9399,118.62,0.833,0.167,21.13,5.37,7.02,6.96,7.73,10.92,-0.5,-3.0,-0.5
2021-11-19 16:31:01,17.91,20.8,22.75,21.92,20.96,4697.96,113.74,0.875,0.125,21.04,4.58,6.86,6.85,8.03,11.02,-0.5,-3.0,-0.5
2021-11-18 16:31:01,17.59,20.5,22.65,21.9,20.71,4704.54,112.15,0.917,0.083,20.68,6.0,7.04,6.84,8.05,11.09,-1.0,-3.0,-0.5
2021-11-17 16:31:01,17.11,20.27,22.43,21.58,20.52,4688.6699,111.53,0.958,0.042,20.36,6.02,7.14,6.82,8.24,11.09,-1.0,-3.0,-0.5
2021-11-16 16:31:03,16.37,16.8,20.0,20.9,20.19,4700.8999,109.58,0.0,1.0,20.0,9.13,7.44,6.67,8.11,11.06,-2.0,-3.0,-3.0
2021-11-15 16:31:08,16.49,17.0,19.89,20.87,20.12,4682.7998,110.66,0.05,0.95,19.75,9.0,7.43,6.91,8.42,11.16,-1.0,-3.0,-2.0
2021-11-12 16:31:01,16.29,17.42,20.11,20.69,20.36,4682.8501,112.11,0.1,0.9,19.84,9.07,7.38,6.88,9.57,11.25,-1.0,-3.0,-2.0
2021-11-11 16:31:05,17.66,18.76,20.8,21.38,21.14,4649.27,114.66,0.15,0.85,20.49,7.36,6.72,6.91,9.83,11.18,-1.0,-3.0,-1.0
2021-11-10 16:31:03,18.73,19.53,21.0,22.0,21.6,4646.71,117.19,0.2,0.8,20.71,8.32,7.98,8.52,10.68,11.43,-0.1,-3.0,-1.0
2021-11-09 16:31:01,17.78,18.9,20.83,21.41,21.21,4685.25,110.55,0.25,0.75,20.35,6.09,6.94,7.4,10.22,11.4,-1.0,-3.0,-1.0
2021-11-08 16:31:01,17.22,18.49,20.5,20.98,20.86,4701.7002,111.49,0.3,0.7,19.9,3.16,6.15,7.26,12.08,11.37,-1.0,-3.0,-1.0
2021-11-05 16:31:00,16.48,18.44,20.51,20.49,20.83,4697.5298,110.21,0.35,0.65,19.79,2.67,6.09,8.14,12.16,11.37,-1.0,-3.0,-1.0
2021-11-04 16:31:01,15.44,17.4,20.08,19.7,20.05,4680.0601,104.46,0.4,0.6,19.01,3.06,6.47,8.35,12.14,11.36,-1.0,-3.0,-1.0
2021-11-03 16:31:02,15.1,17.11,19.75,19.5,19.82,4660.5698,102.25,0.45,0.55,18.56,5.41,6.43,8.55,12.49,11.35,-1.0,-3.0,-1.0
2021-11-02 16:31:07,16.03,17.85,20.35,20.1,20.53,4630.6499,105.44,0.5,0.5,19.1,8.45,6.11,8.47,12.62,11.29,-1.0,-3.0,-1.0
2021-11-01 16:31:01,16.41,18.4,20.8,20.39,21.1,4613.6699,106.66,0.55,0.45,19.48,8.37,6.59,8.86,12.64,11.27,-1.0,-3.0,-1.0
2021-10-29 16:31:01,16.26,18.78,21.05,20.37,21.44,4605.3799,105.17,0.6,0.4,19.69,8.57,6.57,10.62,13.77,11.27,-1.0,-3.0,-1.0
2021-10-28 16:31:01,16.53,18.65,20.85,20.48,21.27,4596.4199,106.28,0.65,0.35,19.42,8.99,6.91,11.06,14.1,11.32,-1.0,-3.0,-1.0
2021-10-27 16:31:03,16.98,19.35,21.3,20.89,21.95,4551.6802,109.61,0.7,0.3,19.93,6.12,9.13,12.0,13.86,11.22,-1.0,-3.0,-1.0
2021-10-26 16:31:02,15.98,18.92,20.8,20.11,21.47,4574.79,103.25,0.75,0.25,19.39,3.55,7.6,11.69,13.94,11.26,-1.0,-3.0,-1.0
2021-10-25 16:31:02,15.24,18.55,20.5,19.56,21.06,4566.48,102.36,0.8,0.2,18.94,4.9,8.35,14.24,14.07,11.27,-1.0,-3.0,-1.0
2021-10-22 16:31:02,15.43,19.1,21.1,20.01,21.7,4544.8999,106.08,0.85,0.15,19.4,4.79,10.14,14.26,14.03,11.31,-1.0,-3.0,-1.0
2021-10-21 16:31:01,15.01,18.7,20.65,19.48,21.22,4549.7798,102.14,0.9,0.1,18.89,3.57,10.25,14.24,14.23,11.33,-1.0,-3.0,-1.0
2021-10-20 16:31:00,15.49,19.32,21.05,19.87,21.95,4536.1899,101.84,0.95,0.05,19.41,8.47,10.54,14.75,14.28,11.32,-1.0,-3.0,-1.0
2021-10-19 16:31:03,15.7,15.96,19.53,19.98,22.15,4519.6299,103.06,0.0,1.0,19.53,8.69,10.54,15.0,14.25,11.35,-2.0,-2.0,-3.0
2021-10-18 16:31:01,16.31,16.62,19.7,20.29,22.37,4486.46,104.37,0.04,0.96,19.58,11.23,10.94,14.89,14.1,11.26,-1.0,-2.0,0.0
2021-10-15 16:31:00,16.3,17.17,20.1,20.3,22.79,4471.3701,106.76,0.08,0.92,19.87,14.44,13.96,16.24,14.06,11.42,-1.0,-2.0,-3.0
2021-10-14 16:31:01,16.96,17.6,20.0,20.43,22.83,4436.23,107.29,0.12,0.88,19.71,14.36,14.49,16.35,13.89,11.33,-1.0,-3.0,-3.0
2021-10-13 16:31:02,18.64,19.15,21.11,21.54,24.14,4363.7998,108.72,0.16,0.84,20.8,9.22,14.05,15.07,12.91,10.94,-1.0,-3.0,-2.0
2021-10-12 16:31:01,19.85,19.72,21.45,22.33,24.61,4350.6499,109.12,0.2,0.8,21.1,9.47,13.98,15.4,12.85,11.35,-1.0,-3.0,-1.0
2021-10-11 16:31:03,20.0,20.15,21.86,22.39,25.12,4361.1899,110.29,0.24,0.76,21.45,11.43,17.36,15.48,12.94,11.82,-1.0,-2.0,-1.0
2021-10-08 16:31:02,18.77,19.72,21.61,21.88,24.79,4391.3398,107.27,0.28,0.72,21.08,14.97,17.14,15.38,13.13,11.84,-1.0,-1.0,-2.0
2021-10-07 16:31:03,19.54,20.1,22.09,22.12,25.26,4399.7598,107.43,0.32,0.68,21.45,15.99,17.2,15.57,13.21,11.85,-1.0,-1.0,-1.0
2021-10-06 16:31:01,21.0,21.22,22.66,22.84,26.21,4363.5498,110.92,0.36,0.64,22.14,18.94,17.87,15.22,12.97,11.73,-1.0,-1.0,-0.5
2021-10-05 16:31:01,21.3,21.75,23.03,23.11,26.55,4345.7202,110.75,0.4,0.6,22.52,18.7,18.47,15.07,12.9,11.72,0.1,-1.0,-0.5
2021-10-04 16:31:01,22.96,22.68,23.7,24.11,27.57,4300.46,117.17,0.44,0.56,23.25,20.3,17.49,14.34,12.76,11.54,0.5,-1.0,0.5
2021-10-01 16:31:01,21.15,21.99,23.22,23.05,26.82,4357.04,113.14,0.48,0.52,22.63,19.5,18.34,13.82,12.5,11.46,0.1,-2.0,-0.5
2021-09-30 16:31:01,23.14,22.87,23.69,23.87,27.83,4307.54,118.01,0.52,0.48,23.26,15.18,17.07,13.01,12.0,11.35,0.5,-2.0,-0.1
2021-09-29 16:31:02,22.56,22.99,23.78,23.72,27.81,4359.46,119.04,0.56,0.44,23.34,18.82,16.46,12.55,11.91,11.11,0.5,-2.0,-0.1
2021-09-28 16:31:01,23.25,22.52,23.44,24.03,27.41,4352.6299,121.06,0.6,0.4,22.89,20.44,17.31,12.49,12.03,11.11,0.5,-2.0,0.1
2021-09-27 16:31:03,18.76,20.11,21.68,21.4,24.82,4443.1099,107.73,0.64,0.36,20.68,10.39,14.23,10.58,10.56,10.37,-1.0,-3.0,-1.0
2021-09-24 16:31:01,17.75,19.82,21.65,20.82,24.58,4455.48,103.07,0.68,0.32,20.41,18.15,14.24,11.06,10.54,10.39,-1.0,-2.0,-1.0
2021-09-23 16:31:01,18.63,20.6,22.2,21.37,25.36,4448.98,108.31,0.72,0.28,21.05,19.5,14.7,11.22,10.56,10.39,-0.5,-3.0,-1.0
2021-09-22 16:31:02,20.87,22.1,23.13,23.05,27.07,4395.6401,117.62,0.76,0.24,22.35,15.74,12.82,10.26,9.96,10.11,0.5,-3.0,-0.5
2021-09-21 16:31:01,24.36,23.43,24.12,25.47,28.86,4354.1899,130.76,0.8,0.2,23.57,15.21,10.98,9.54,9.53,9.94,1.0,-3.0,0.5
2021-09-20 16:31:06,25.71,24.46,24.7,26.4,29.74,4357.73,138.93,0.84,0.16,24.5,14.96,10.86,10.17,9.53,9.96,1.0,-3.0,1.0
2021-09-17 16:31:01,20.81,21.94,22.95,23.22,26.81,4432.9902,118.9,0.88,0.12,22.06,10.92,8.14,8.7,8.18,9.33,0.5,-3.0,-0.5
2021-09-16 16:31:04,18.69,20.56,22.0,21.81,25.18,4473.75,112.11,0.92,0.08,20.68,10.3,7.52,7.96,7.87,9.11,-0.1,-3.0,-0.5
2021-09-15 16:31:01,18.18,20.84,22.3,21.76,25.43,4480.7002,112.48,0.96,0.04,20.9,10.65,7.55,8.93,7.99,9.14,-0.1,-3.0,-0.5
2021-09-14 16:31:02,19.46,19.71,21.56,22.55,26.46,4443.0498,120.37,0.0,1.0,21.56,6.26,5.43,8.77,7.96,9.4,-0.5,-3.0,-0.5
2021-09-13 16:31:01,19.37,19.3,21.33,22.47,26.09,4468.73,118.01,0.053,0.947,21.22,5.93,5.78,8.59,7.78,9.74,-1.0,-3.0,-0.5
2021-09-10 16:31:06,20.95,20.62,22.15,23.31,27.06,4458.5801,124.98,0.105,0.895,21.99,4.62,7.46,8.57,7.95,9.74,-0.1,-3.0,-0.5
2021-09-09 16:31:06,18.8,19.37,21.35,22.06,26.05,4493.2798,117.03,0.158,0.842,21.04,4.57,6.97,8.13,7.65,9.67,-1.0,-3.0,-1.0
2021-09-08 16:31:01,17.96,18.77,20.93,21.59,25.51,4514.0698,115.06,0.211,0.789,20.47,3.6,6.55,7.92,7.49,9.62,-1.0,-3.0,-1.0
2021-09-07 16:31:08,18.14,18.83,20.9,21.53,25.55,4520.0298,111.01,0.263,0.737,20.36,3.6,6.47,7.88,7.64,9.61,-1.0,-3.0,-1.0
2021-09-03 16:31:06,16.41,18.35,20.56,20.32,24.94,4535.4302,105.48,0.316,0.684,19.86,3.68,6.99,7.74,7.55,9.56,-1.0,-3.0,-2.0
2021-09-02 16:31:16,16.41,17.96,20.44,20.13,24.77,4536.9502,105.7,0.368,0.632,19.53,6.21,7.44,7.73,7.99,9.58,-1.0,-3.0,-1.0
2021-09-01 16:31:02,16.11,18.08,20.45,20.08,24.82,4524.0898,105.2,0.421,0.579,19.45,8.82,7.49,7.9,7.98,9.6,-1.0,-3.0,-1.0
2021-08-31 16:31:01,16.48,18.62,20.91,20.42,25.49,4522.6802,105.81,0.474,0.526,19.82,8.79,10.09,8.17,8.22,9.6,-1.0,-3.0,-1.0
